Name,Year,genres,rating,votes,Key
Manufacturing Consent: Noam Chomsky and the Media,1992.0,"['Biography', 'Documentary', 'War']",8.1,5105,"('Manufacturing Consent: Noam Chomsky and the Media', 1992.0)"
Map of the Human Heart,1992.0,"['Adventure', 'Drama', 'Romance']",7.0,3568,"('Map of the Human Heart', 1992.0)"
We Are Not Angels,1992.0,"['Comedy', 'Fantasy', 'Romance']",8.3,10125,"('We Are Not Angels', 1992.0)"
Minbo,1992.0,['Comedy'],7.4,1288,"('Minbo', 1992.0)"
Travellers,1992.0,['Drama'],7.4,1367,"('Travellers', 1992.0)"
The Muppet Christmas Carol,1992.0,"['Comedy', 'Drama', 'Family']",7.8,81767,"('The Muppet Christmas Carol', 1992.0)"
My Cousin Vinny,1992.0,"['Comedy', 'Crime']",7.6,156456,"('My Cousin Vinny', 1992.0)"
"Once Upon a Time, Cinema",1992.0,"['Comedy', 'Drama', 'Fantasy']",7.3,1308,"('Once Upon a Time, Cinema', 1992.0)"
Noises Off...,1992.0,['Comedy'],7.4,13753,"('Noises Off...', 1992.0)"
The Northerners,1992.0,"['Comedy', 'Drama']",7.2,3569,"('The Northerners', 1992.0)"
Of Mice and Men,1992.0,"['Drama', 'Western']",7.4,50874,"('Of Mice and Men', 1992.0)"
The Panama Deception,1992.0,"['Documentary', 'History', 'War']",7.5,1226,"('The Panama Deception', 1992.0)"
"Dearest Relatives, Poisonous Relations",1992.0,['Comedy'],7.3,3009,"('Dearest Relatives, Poisonous Relations', 1992.0)"
Passion Fish,1992.0,['Drama'],7.3,6445,"('Passion Fish', 1992.0)"
Highway Patrolman,1991.0,"['Crime', 'Drama']",7.1,1122,"('Highway Patrolman', 1991.0)"
Peter's Friends,1992.0,"['Comedy', 'Drama', 'Romance']",7.0,13002,"(""Peter's Friends"", 1992.0)"
Piano Piano Kid,1991.0,"['Comedy', 'Drama', 'Family']",7.7,2410,"('Piano Piano Kid', 1991.0)"
The Player,1992.0,"['Comedy', 'Crime', 'Drama']",7.5,71673,"('The Player', 1992.0)"
The Power of One,1992.0,"['Drama', 'Sport']",7.1,11363,"('The Power of One', 1992.0)"
Psy,1992.0,"['Action', 'Crime', 'Drama']",7.6,6018,"('Psy', 1992.0)"
Pure Country,1992.0,"['Drama', 'Music', 'Romance']",7.2,5822,"('Pure Country', 1992.0)"
The Story of Qiu Ju,1992.0,"['Comedy', 'Drama']",7.6,7147,"('The Story of Qiu Ju', 1992.0)"
Ram Ke Naam,1992.0,['Documentary'],8.8,1029,"('Ram Ke Naam', 1992.0)"
Red Rock West,1993.0,"['Crime', 'Drama', 'Thriller']",7.0,27924,"('Red Rock West', 1993.0)"
Reservoir Dogs,1992.0,"['Crime', 'Thriller']",8.3,1162957,"('Reservoir Dogs', 1992.0)"
A River Runs Through It,1992.0,['Drama'],7.2,70365,"('A River Runs Through It', 1992.0)"
Roja,1992.0,"['Drama', 'Musical', 'Romance']",8.1,14705,"('Roja', 1992.0)"
Scent of a Woman,1992.0,['Drama'],8.0,366652,"('Scent of a Woman', 1992.0)"
Schtonk,1992.0,"['Comedy', 'Crime']",7.1,4445,"('Schtonk', 1992.0)"
"Sumo Do, Sumo Don't",1992.0,"['Comedy', 'Drama', 'Sport']",7.1,1092,"(""Sumo Do, Sumo Don't"", 1992.0)"
Simple Men,1992.0,"['Crime', 'Drama', 'Romance']",7.1,5085,"('Simple Men', 1992.0)"
Sneakers,1992.0,"['Comedy', 'Crime', 'Drama']",7.1,67631,"('Sneakers', 1992.0)"
Dream of Light,1992.0,['Biography'],7.6,2367,"('Dream of Light', 1992.0)"
Strictly Ballroom,1992.0,"['Comedy', 'Drama', 'Music']",7.2,30749,"('Strictly Ballroom', 1992.0)"
Thevar Magan,1992.0,"['Action', 'Drama', 'Romance']",8.7,8909,"('Thevar Magan', 1992.0)"
Tito and Me,1992.0,"['Comedy', 'Drama', 'Romance']",8.0,6477,"('Tito and Me', 1992.0)"
Pushing Hands,1991.0,"['Comedy', 'Drama']",7.2,5255,"('Pushing Hands', 1991.0)"
Twin Peaks: Fire Walk with Me,1992.0,"['Drama', 'Horror', 'Mystery']",7.3,117998,"('Twin Peaks: Fire Walk with Me', 1992.0)"
A Heart in Winter,1992.0,"['Drama', 'Music', 'Romance']",7.6,11507,"('A Heart in Winter', 1992.0)"
Unforgiven,1992.0,"['Drama', 'Western']",8.2,465842,"('Unforgiven', 1992.0)"
The Bohemian Life,1992.0,"['Comedy', 'Drama', 'Romance']",7.6,7129,"('The Bohemian Life', 1992.0)"
Visions of Light,1992.0,"['Documentary', 'History']",7.7,3433,"('Visions of Light', 1992.0)"
Wayne's World,1992.0,"['Comedy', 'Music']",7.0,181222,"(""Wayne's World"", 1992.0)"
Once Upon a Time in China II,1992.0,"['Action', 'Adventure', 'Biography']",7.3,11313,"('Once Upon a Time in China II', 1992.0)"
Full Contact,1992.0,"['Action', 'Crime', 'Thriller']",7.1,5267,"('Full Contact', 1992.0)"
Dragon Inn,1992.0,"['Action', 'Thriller']",7.2,5225,"('Dragon Inn', 1992.0)"
And Life Goes On,1992.0,"['Adventure', 'Drama']",7.9,8917,"('And Life Goes On', 1992.0)"
The Age of Innocence,1993.0,"['Drama', 'Romance']",7.2,74076,"('The Age of Innocence', 1993.0)"
Alive,1993.0,"['Biography', 'Drama', 'Thriller']",7.1,68495,"('Alive', 1993.0)"
The Red Squirrel,1993.0,"['Comedy', 'Drama', 'Music']",7.1,5143,"('The Red Squirrel', 1993.0)"
Arizona Dream,1993.0,"['Comedy', 'Drama', 'Fantasy']",7.2,47576,"('Arizona Dream', 1993.0)"
Army of Darkness,1992.0,"['Comedy', 'Horror']",7.4,207174,"('Army of Darkness', 1992.0)"
From Karkheh to Rhein,1993.0,"['Drama', 'War']",7.1,3136,"('From Karkheh to Rhein', 1993.0)"
Farewell My Concubine,1993.0,"['Drama', 'Music', 'Romance']",8.1,36631,"('Farewell My Concubine', 1993.0)"
Baazigar,1993.0,"['Crime', 'Drama', 'Musical']",7.6,31802,"('Baazigar', 1993.0)"
Bad Boy Bubby,1993.0,"['Comedy', 'Crime', 'Drama']",7.3,15979,"('Bad Boy Bubby', 1993.0)"
Batman: Mask of the Phantasm,1993.0,"['Action', 'Adventure', 'Animation']",7.8,63074,"('Batman: Mask of the Phantasm', 1993.0)"
Bells from the Deep: Faith and Superstition in Russia,1993.0,['Documentary'],7.3,1211,"('Bells from the Deep: Faith and Superstition in Russia', 1993.0)"
Benny & Joon,1993.0,"['Comedy', 'Drama', 'Romance']",7.1,65092,"('Benny & Joon', 1993.0)"
Sailor Moon R: The Movie: The Promise of the Rose,1993.0,"['Action', 'Animation', 'Comedy']",7.7,3116,"('Sailor Moon R: The Movie: The Promise of the Rose', 1993.0)"
Blue,1993.0,['Biography'],7.3,3168,"('Blue', 1993.0)"
"Blood In, Blood Out",1993.0,"['Biography', 'Crime', 'Drama']",7.9,37387,"('Blood In, Blood Out', 1993.0)"
A Bronx Tale,1993.0,"['Crime', 'Drama']",7.8,182531,"('A Bronx Tale', 1993.0)"
Carlito's Way,1993.0,"['Crime', 'Drama', 'Thriller']",7.9,246319,"(""Carlito's Way"", 1993.0)"
The Earth's Most Beloved Son,1993.0,['Drama'],8.4,1994,"(""The Earth's Most Beloved Son"", 1993.0)"
The Cement Garden,1993.0,['Drama'],7.0,5791,"('The Cement Garden', 1993.0)"
Green Snake,1993.0,"['Drama', 'Fantasy', 'Romance']",7.2,4172,"('Green Snake', 1993.0)"
"Clean, Shaven",1993.0,"['Crime', 'Drama', 'Thriller']",7.0,6484,"('Clean, Shaven', 1993.0)"
Cool Runnings,1993.0,"['Adventure', 'Comedy', 'Family']",7.0,122305,"('Cool Runnings', 1993.0)"
Kitchen with Apartment,1993.0,"['Comedy', 'Drama']",7.1,2166,"('Kitchen with Apartment', 1993.0)"
From the East,1993.0,['Documentary'],7.2,1130,"('From the East', 1993.0)"
Damini,1993.0,"['Crime', 'Drama']",7.8,4345,"('Damini', 1993.0)"
Dazed and Confused,1993.0,['Comedy'],7.6,214774,"('Dazed and Confused', 1993.0)"
The Inheritance or Fuckoffguysgoodday,1992.0,['Comedy'],7.6,2847,"('The Inheritance or Fuckoffguysgoodday', 1992.0)"
Whistle If You Come Back,1993.0,['Drama'],7.3,2610,"('Whistle If You Come Back', 1993.0)"
Dragon: The Bruce Lee Story,1993.0,"['Action', 'Biography', 'Drama']",7.0,34799,"('Dragon: The Bruce Lee Story', 1993.0)"
Falling Down,1993.0,"['Crime', 'Drama', 'Thriller']",7.5,224535,"('Falling Down', 1993.0)"
Fear of a Black Hat,1993.0,"['Comedy', 'Music']",7.2,4866,"('Fear of a Black Hat', 1993.0)"
Fearless,1993.0,"['Drama', 'Thriller']",7.0,25964,"('Fearless', 1993.0)"
The Legend,1993.0,"['Action', 'Comedy', 'History']",7.1,8797,"('The Legend', 1993.0)"
Stolen Spring,1993.0,['Drama'],7.4,2476,"('Stolen Spring', 1993.0)"
Strawberry & Chocolate,1993.0,"['Comedy', 'Drama', 'Romance']",7.4,6312,"('Strawberry & Chocolate', 1993.0)"
The Fugitive,1993.0,"['Action', 'Crime', 'Drama']",7.8,343815,"('The Fugitive', 1993.0)"
Gardish,1993.0,"['Action', 'Crime', 'Drama']",7.6,1047,"('Gardish', 1993.0)"
Germinal,1993.0,"['Drama', 'Romance']",7.1,6104,"('Germinal', 1993.0)"
Gettysburg,1993.0,"['Drama', 'History', 'War']",7.6,33217,"('Gettysburg', 1993.0)"
Groundhog Day,1993.0,"['Comedy', 'Drama', 'Fantasy']",8.0,734210,"('Groundhog Day', 1993.0)"
Grumpy Old Men,1993.0,"['Comedy', 'Drama', 'Romance']",7.0,57248,"('Grumpy Old Men', 1993.0)"
Hated: GG Allin & the Murder Junkies,1993.0,"['Biography', 'Documentary', 'Music']",7.2,3882,"('Hated: GG Allin & the Murder Junkies', 1993.0)"
Heart and Souls,1993.0,"['Comedy', 'Drama', 'Fantasy']",7.0,20087,"('Heart and Souls', 1993.0)"
Hercules Returns,1993.0,['Comedy'],7.1,1792,"('Hercules Returns', 1993.0)"
A Home of Our Own,1993.0,"['Biography', 'Drama']",7.1,4526,"('A Home of Our Own', 1993.0)"
Homeward Bound: The Incredible Journey,1993.0,"['Adventure', 'Comedy', 'Drama']",7.0,55080,"('Homeward Bound: The Incredible Journey', 1993.0)"
The Wedding Banquet,1993.0,"['Comedy', 'Drama', 'Romance']",7.6,18751,"('The Wedding Banquet', 1993.0)"
The Puppetmaster,1993.0,"['Biography', 'Drama', 'War']",7.0,2244,"('The Puppetmaster', 1993.0)"
Hum Hain Rahi Pyar Ke,1993.0,"['Comedy', 'Drama', 'Romance']",7.3,6707,"('Hum Hain Rahi Pyar Ke', 1993.0)"
In the Line of Fire,1993.0,"['Action', 'Crime', 'Drama']",7.2,122283,"('In the Line of Fire', 1993.0)"
In the Name of the Father,1993.0,"['Biography', 'Crime', 'Drama']",8.1,201590,"('In the Name of the Father', 1993.0)"
"Faraway, So Close!",1993.0,"['Drama', 'Fantasy', 'Romance']",7.2,9762,"('Faraway, So Close!', 1993.0)"
India,1993.0,"['Comedy', 'Drama']",7.9,3202,"('India', 1993.0)"
The Terrorism and the Kebab,1992.0,"['Action', 'Comedy', 'Crime']",7.8,3869,"('The Terrorism and the Kebab', 1992.0)"
The Joy Luck Club,1993.0,['Drama'],7.7,19555,"('The Joy Luck Club', 1993.0)"
Jurassic Park,1993.0,"['Action', 'Adventure', 'Sci-Fi']",8.2,1166592,"('Jurassic Park', 1993.0)"
Khalnayak,1993.0,"['Action', 'Adventure', 'Crime']",7.1,4179,"('Khalnayak', 1993.0)"
King of the Hill,1993.0,"['Drama', 'History']",7.3,9344,"('King of the Hill', 1993.0)"
Little Sharks,1992.0,"['Comedy', 'Romance']",7.5,1581,"('Little Sharks', 1992.0)"
The Blue Kite,1993.0,"['Drama', 'History']",7.5,3486,"('The Blue Kite', 1993.0)"
Latcho Drom,1993.0,"['Documentary', 'Music']",8.1,2264,"('Latcho Drom', 1993.0)"
"The Wonderful, Horrible Life of Leni Riefenstahl",1993.0,"['Biography', 'Documentary', 'History']",8.0,3164,"('The Wonderful, Horrible Life of Leni Riefenstahl', 1993.0)"
Madadayo,1993.0,['Drama'],7.3,6690,"('Madadayo', 1993.0)"
Manhattan Murder Mystery,1993.0,"['Comedy', 'Mystery']",7.3,49551,"('Manhattan Murder Mystery', 1993.0)"
Menace II Society,1993.0,"['Crime', 'Drama', 'Thriller']",7.5,69458,"('Menace II Society', 1993.0)"
Mrs. Doubtfire,1993.0,"['Comedy', 'Drama', 'Family']",7.1,313456,"('Mrs. Doubtfire', 1993.0)"
Much Ado About Nothing,1993.0,"['Comedy', 'Drama', 'Romance']",7.3,55316,"('Much Ado About Nothing', 1993.0)"
The Scent of Green Papaya,1993.0,"['Drama', 'Music', 'Romance']",7.3,10956,"('The Scent of Green Papaya', 1993.0)"
The Music of Chance,1993.0,['Drama'],7.0,2751,"('The Music of Chance', 1993.0)"
Mother's Day,1993.0,['Comedy'],7.9,2307,"(""Mother's Day"", 1993.0)"
Naked,1993.0,"['Comedy', 'Drama']",7.7,48368,"('Naked', 1993.0)"
The Nightmare Before Christmas,1993.0,"['Adventure', 'Animation', 'Family']",7.9,409430,"('The Nightmare Before Christmas', 1993.0)"
Ninja Scroll,1993.0,"['Action', 'Adventure', 'Animation']",7.8,44232,"('Ninja Scroll', 1993.0)"
Moving,1993.0,['Drama'],7.6,1621,"('Moving', 1993.0)"
Orlando,1992.0,"['Biography', 'Drama', 'Fantasy']",7.1,20784,"('Orlando', 1992.0)"
Padma Nadir Majhi,1993.0,['Drama'],8.2,1069,"('Padma Nadir Majhi', 1993.0)"
A Perfect World,1993.0,"['Crime', 'Drama', 'Thriller']",7.5,92980,"('A Perfect World', 1993.0)"
Philadelphia,1993.0,['Drama'],7.7,272448,"('Philadelphia', 1993.0)"
The Piano,1993.0,"['Drama', 'Music', 'Romance']",7.5,100680,"('The Piano', 1993.0)"
Raining Stones,1993.0,"['Comedy', 'Drama']",7.3,5268,"('Raining Stones', 1993.0)"
The Remains of the Day,1993.0,"['Drama', 'Romance']",7.8,92052,"('The Remains of the Day', 1993.0)"
Rudy,1993.0,"['Biography', 'Drama', 'Sport']",7.5,73947,"('Rudy', 1993.0)"
The Saint of Fort Washington,1993.0,['Drama'],7.1,3011,"('The Saint of Fort Washington', 1993.0)"
The Sandlot,1993.0,"['Comedy', 'Drama', 'Family']",7.8,113572,"('The Sandlot', 1993.0)"
Schindler's List,1993.0,"['Biography', 'Drama', 'History']",9.0,1574171,"(""Schindler's List"", 1993.0)"
Searching for Bobby Fischer,1993.0,"['Biography', 'Drama', 'Sport']",7.3,45691,"('Searching for Bobby Fischer', 1993.0)"
The Secret Adventures of Tom Thumb,1993.0,"['Adventure', 'Animation', 'Drama']",7.2,1689,"('The Secret Adventures of Tom Thumb', 1993.0)"
The Secret Garden,1993.0,"['Drama', 'Family', 'Fantasy']",7.3,48056,"('The Secret Garden', 1993.0)"
The Eagle Shooting Heroes,1993.0,"['Action', 'Comedy', 'Fantasy']",7.0,3566,"('The Eagle Shooting Heroes', 1993.0)"
Shadowlands,1993.0,"['Biography', 'Drama', 'Romance']",7.3,21477,"('Shadowlands', 1993.0)"
Short Cuts,1993.0,"['Comedy', 'Drama']",7.6,49709,"('Short Cuts', 1993.0)"
Iron Monkey,1993.0,"['Action', 'Crime', 'Drama']",7.5,18045,"('Iron Monkey', 1993.0)"
Smoking/No Smoking,1993.0,"['Comedy', 'Drama']",7.3,2040,"('Smoking/No Smoking', 1993.0)"
Remote Control,1992.0,"['Comedy', 'Crime']",7.6,1202,"('Remote Control', 1992.0)"
Sonatine,1993.0,"['Action', 'Comedy', 'Crime']",7.4,25102,"('Sonatine', 1993.0)"
Sopyonje,1993.0,"['Drama', 'Music']",7.6,1222,"('Sopyonje', 1993.0)"
Sose halunk meg,1993.0,"['Comedy', 'Drama']",7.6,2152,"('Sose halunk meg', 1993.0)"
Stalingrad,1993.0,"['Drama', 'War']",7.5,40127,"('Stalingrad', 1993.0)"
Sune's Summer,1993.0,"['Comedy', 'Family']",7.0,5548,"(""Sune's Summer"", 1993.0)"
The Seventh Horse of the Sun,1992.0,"['Drama', 'Romance']",8.0,1097,"('The Seventh Horse of the Sun', 1992.0)"
Tai Chi Master,1993.0,"['Action', 'Comedy', 'Drama']",7.2,11608,"('Tai Chi Master', 1993.0)"
Flirting Scholar,1993.0,"['Comedy', 'Romance']",7.6,6968,"('Flirting Scholar', 1993.0)"
Theremin: An Electronic Odyssey,1993.0,"['Biography', 'Documentary', 'History']",7.3,1029,"('Theremin: An Electronic Odyssey', 1993.0)"
Thirty Two Short Films About Glenn Gould,1993.0,"['Biography', 'Drama', 'Music']",7.3,4215,"('Thirty Two Short Films About Glenn Gould', 1993.0)"
Thiruda Thiruda,1993.0,"['Action', 'Crime', 'Drama']",7.1,1549,"('Thiruda Thiruda', 1993.0)"
This Boy's Life,1993.0,"['Biography', 'Drama']",7.3,62759,"(""This Boy's Life"", 1993.0)"
Tombstone,1993.0,"['Biography', 'Drama', 'History']",7.8,189813,"('Tombstone', 1993.0)"
Three Colors: Blue,1993.0,"['Drama', 'Music', 'Mystery']",7.8,118184,"('Three Colors: Blue', 1993.0)"
True Romance,1993.0,"['Crime', 'Drama', 'Romance']",7.9,259253,"('True Romance', 1993.0)"
Deadly Maria,1993.0,"['Drama', 'Fantasy', 'Thriller']",7.0,1109,"('Deadly Maria', 1993.0)"
Sun of the Sleepless,1992.0,"['Crime', 'Drama']",8.4,1745,"('Sun of the Sleepless', 1992.0)"
Abraham's Valley,1993.0,['Drama'],7.3,1710,"(""Abraham's Valley"", 1993.0)"
Vidheyan,1994.0,['Drama'],8.2,1727,"('Vidheyan', 1994.0)"
The Visitors,1993.0,"['Comedy', 'Fantasy']",7.0,40738,"('The Visitors', 1993.0)"
For a Lost Soldier,1992.0,"['Drama', 'Romance', 'War']",7.5,5226,"('For a Lost Soldier', 1992.0)"
The War Room,1993.0,"['Documentary', 'History']",7.3,4693,"('The War Room', 1993.0)"
What's Eating Gilbert Grape,1993.0,['Drama'],7.7,268126,"(""What's Eating Gilbert Grape"", 1993.0)"
What's Love Got to Do with It,1993.0,"['Biography', 'Drama', 'Music']",7.4,26622,"(""What's Love Got to Do with It"", 1993.0)"
No More Mr. Nice Guy,1993.0,['Comedy'],7.3,1369,"('No More Mr. Nice Guy', 1993.0)"
Wrestling Ernest Hemingway,1993.0,"['Drama', 'Romance']",7.0,3528,"('Wrestling Ernest Hemingway', 1993.0)"
Sundays on Leave,1993.0,"['Comedy', 'Drama']",7.8,1255,"('Sundays on Leave', 1993.0)"
1942: A Love Story,1994.0,"['Action', 'Drama', 'History']",7.2,3863,"('1942: A Love Story', 1994.0)"
71 Fragments of a Chronology of Chance,1994.0,"['Crime', 'Drama']",7.1,9554,"('71 Fragments of a Chronology of Chance', 1994.0)"
Cold Fever,1995.0,"['Comedy', 'Drama', 'Mystery']",7.0,1976,"('Cold Fever', 1995.0)"
"The Adventures of Priscilla, Queen of the Desert",1994.0,"['Comedy', 'Music']",7.5,60882,"('The Adventures of Priscilla, Queen of the Desert', 1994.0)"
Vive L'Amour,1994.0,"['Drama', 'Romance']",7.4,5440,"(""Vive L'Amour"", 1994.0)"
Accumulator 1,1994.0,"['Comedy', 'Fantasy', 'Romance']",7.0,1704,"('Accumulator 1', 1994.0)"
Andaz Apna Apna,1994.0,"['Action', 'Comedy', 'Romance']",8.0,57706,"('Andaz Apna Apna', 1994.0)"
Bandit Queen,1994.0,"['Biography', 'Crime', 'Drama']",7.5,5791,"('Bandit Queen', 1994.0)"
Barcelona,1994.0,"['Comedy', 'Drama', 'Romance']",7.0,7041,"('Barcelona', 1994.0)"
Sailor Moon S: The Movie - Hearts in Ice,1994.0,"['Action', 'Animation', 'Comedy']",7.6,2449,"('Sailor Moon S: The Movie - Hearts in Ice', 1994.0)"
The Browning Version,1994.0,['Drama'],7.2,3781,"('The Browning Version', 1994.0)"
Bullets Over Broadway,1994.0,"['Comedy', 'Crime']",7.4,44163,"('Bullets Over Broadway', 1994.0)"
Dear Diary,1993.0,"['Biography', 'Comedy', 'Drama']",7.2,9996,"('Dear Diary', 1993.0)"
Chungking Express,1994.0,"['Comedy', 'Crime', 'Drama']",7.9,109453,"('Chungking Express', 1994.0)"
Fear City: A Family-Style Comedy,1994.0,"['Comedy', 'Horror']",7.5,11452,"('Fear City: A Family-Style Comedy', 1994.0)"
Clerks,1994.0,['Comedy'],7.7,239667,"('Clerks', 1994.0)"
Crooklyn,1994.0,"['Comedy', 'Drama']",7.0,12230,"('Crooklyn', 1994.0)"
The Crow,1994.0,"['Action', 'Crime', 'Drama']",7.5,229434,"('The Crow', 1994.0)"
Crumb,1994.0,"['Biography', 'Comedy', 'Documentary']",8.0,22908,"('Crumb', 1994.0)"
Dance Me Outside,1994.0,"['Comedy', 'Drama']",7.1,1477,"('Dance Me Outside', 1994.0)"
Darr,1993.0,"['Action', 'Drama', 'Romance']",7.6,26964,"('Darr', 1993.0)"
Death and the Maiden,1994.0,"['Drama', 'Mystery', 'Thriller']",7.2,28812,"('Death and the Maiden', 1994.0)"
Cemetery Man,1994.0,"['Comedy', 'Horror']",7.0,25977,"('Cemetery Man', 1994.0)"
Dolores Claiborne,1995.0,"['Crime', 'Drama', 'Mystery']",7.4,52750,"('Dolores Claiborne', 1995.0)"
Double Happiness,1994.0,"['Drama', 'Romance']",7.1,1327,"('Double Happiness', 1994.0)"
A Confucian Confusion,1994.0,"['Comedy', 'Drama', 'Romance']",7.5,2083,"('A Confucian Confusion', 1994.0)"
Dumb and Dumber,1994.0,['Comedy'],7.3,440692,"('Dumb and Dumber', 1994.0)"
Ashes of Time,1994.0,"['Action', 'Drama']",7.0,18150,"('Ashes of Time', 1994.0)"
Ed Wood,1994.0,"['Biography', 'Comedy', 'Drama']",7.8,190852,"('Ed Wood', 1994.0)"
The Endless Summer 2,1994.0,"['Adventure', 'Documentary', 'Sport']",7.6,2349,"('The Endless Summer 2', 1994.0)"
Hell,1994.0,"['Crime', 'Drama', 'Thriller']",7.0,7143,"('Hell', 1994.0)"
La estrategia del caracol,1993.0,"['Comedy', 'Drama']",7.7,3085,"('La estrategia del caracol', 1993.0)"
Exotica,1994.0,['Drama'],7.0,22349,"('Exotica', 1994.0)"
Faust,1994.0,"['Animation', 'Comedy', 'Drama']",7.3,4691,"('Faust', 1994.0)"
Felidae,1994.0,"['Animation', 'Drama', 'Mystery']",7.0,5770,"('Felidae', 1994.0)"
Forrest Gump,1994.0,"['Drama', 'Romance']",8.8,2473287,"('Forrest Gump', 1994.0)"
Four Weddings and a Funeral,1994.0,"['Comedy', 'Drama', 'Romance']",7.1,180839,"('Four Weddings and a Funeral', 1994.0)"
Fresh,1994.0,"['Crime', 'Drama', 'Thriller']",7.5,16081,"('Fresh', 1994.0)"
Giorgino,1994.0,"['Adventure', 'Drama', 'Horror']",7.2,1190,"('Giorgino', 1994.0)"
"He's a Woman, She's a Man",1994.0,"['Comedy', 'Romance']",7.3,1390,"(""He's a Woman, She's a Man"", 1994.0)"
From Beijing with Love,1994.0,"['Action', 'Comedy', 'Thriller']",7.1,8782,"('From Beijing with Love', 1994.0)"
Heavenly Creatures,1994.0,"['Biography', 'Crime', 'Drama']",7.2,70676,"('Heavenly Creatures', 1994.0)"
Pom Poko,1994.0,"['Animation', 'Comedy', 'Drama']",7.2,38487,"('Pom Poko', 1994.0)"
Hoop Dreams,1994.0,"['Documentary', 'Drama', 'Sport']",8.3,29407,"('Hoop Dreams', 1994.0)"
The Hudsucker Proxy,1994.0,"['Comedy', 'Drama', 'Fantasy']",7.2,89962,"('The Hudsucker Proxy', 1994.0)"
Hum Aapke Hain Koun..!,1994.0,"['Comedy', 'Drama', 'Musical']",7.5,24132,"('Hum Aapke Hain Koun..!', 1994.0)"
Burning Paradise,1994.0,"['Action', 'Adventure', 'Fantasy']",7.0,1081,"('Burning Paradise', 1994.0)"
To Live,1994.0,"['Drama', 'War']",8.3,22154,"('To Live', 1994.0)"
Immortal Beloved,1994.0,"['Biography', 'Drama', 'Music']",7.4,27445,"('Immortal Beloved', 1994.0)"
Interview with the Vampire,1994.0,"['Drama', 'Fantasy', 'Horror']",7.5,374151,"('Interview with the Vampire', 1994.0)"
Fist of Legend,1994.0,"['Action', 'Drama']",7.5,26550,"('Fist of Legend', 1994.0)"
Hail the Judge,1994.0,['Comedy'],7.5,5291,"('Hail the Judge', 1994.0)"
The Ride,1994.0,"['Comedy', 'Drama', 'Romance']",7.2,1201,"('The Ride', 1994.0)"
Kabhi Haan Kabhi Naa,1994.0,"['Comedy', 'Drama', 'Music']",7.6,20318,"('Kabhi Haan Kabhi Naa', 1994.0)"
Nobody Loves Me,1994.0,"['Comedy', 'Drama']",7.1,1284,"('Nobody Loves Me', 1994.0)"
Revolutionary,1994.0,"['Action', 'Crime', 'Drama']",7.4,2642,"('Revolutionary', 1994.0)"
Ladybird Ladybird,1994.0,['Drama'],7.4,4096,"('Ladybird Ladybird', 1994.0)"
Lamerica,1994.0,"['Comedy', 'Drama']",7.4,2497,"('Lamerica', 1994.0)"
The Last Seduction,1994.0,"['Crime', 'Drama', 'Romance']",7.0,28328,"('The Last Seduction', 1994.0)"
Legends of the Fall,1994.0,"['Drama', 'Romance', 'War']",7.5,198074,"('Legends of the Fall', 1994.0)"
The Lovers,1994.0,"['Comedy', 'Drama', 'Fantasy']",7.3,1135,"('The Lovers', 1994.0)"
The Lion King,1994.0,"['Adventure', 'Animation', 'Drama']",8.5,1248301,"('The Lion King', 1994.0)"
Lisbon Story,1994.0,"['Drama', 'Music']",7.1,5872,"('Lisbon Story', 1994.0)"
Little Women,1994.0,"['Drama', 'Family', 'Romance']",7.3,68629,"('Little Women', 1994.0)"
Léon: The Professional,1994.0,"['Action', 'Crime', 'Drama']",8.5,1342127,"('Léon: The Professional', 1994.0)"
The Madness of King George,1994.0,"['Biography', 'Comedy', 'Drama']",7.2,19919,"('The Madness of King George', 1994.0)"
The Mask,1994.0,"['Comedy', 'Crime', 'Fantasy']",7.0,465583,"('The Mask', 1994.0)"
Maverick,1994.0,"['Action', 'Adventure', 'Comedy']",7.0,125596,"('Maverick', 1994.0)"
Mina Tannenbaum,1994.0,['Drama'],7.1,1094,"('Mina Tannenbaum', 1994.0)"
Mohra,1994.0,"['Action', 'Drama', 'Thriller']",7.0,9183,"('Mohra', 1994.0)"
The Monster,1994.0,"['Comedy', 'Crime', 'Mystery']",7.3,12342,"('The Monster', 1994.0)"
Muriel's Wedding,1994.0,"['Comedy', 'Drama']",7.3,44901,"(""Muriel's Wedding"", 1994.0)"
Nightwatch,1994.0,['Thriller'],7.2,20378,"('Nightwatch', 1994.0)"
Natural Born Killers,1994.0,"['Crime', 'Romance']",7.2,266413,"('Natural Born Killers', 1994.0)"
In the Middle of Nowhere,1994.0,['Drama'],7.5,1294,"('In the Middle of Nowhere', 1994.0)"
Nobody's Fool,1994.0,"['Comedy', 'Drama']",7.3,24473,"(""Nobody's Fool"", 1994.0)"
Window to Paris,1993.0,"['Comedy', 'Drama', 'Fantasy']",7.3,1760,"('Window to Paris', 1993.0)"
Once Were Warriors,1994.0,"['Crime', 'Drama']",7.9,39091,"('Once Were Warriors', 1994.0)"
The Patriots,1994.0,"['Drama', 'Thriller']",7.3,1723,"('The Patriots', 1994.0)"
"Take Care of Your Scarf, Tatiana",1994.0,"['Comedy', 'Romance']",7.1,4259,"('Take Care of Your Scarf, Tatiana', 1994.0)"
The Postman,1994.0,"['Biography', 'Comedy', 'Drama']",7.8,41205,"('The Postman', 1994.0)"
