Name,Year,genres,rating,votes,Key
Paris Asleep,1925.0,"['Comedy', 'Sci-Fi']",7.1,2125,"('Paris Asleep', 1925.0)"
Peter Pan,1924.0,"['Adventure', 'Family', 'Fantasy']",7.1,1471,"('Peter Pan', 1924.0)"
Sherlock Jr.,1924.0,"['Action', 'Comedy', 'Romance']",8.1,65073,"('Sherlock Jr.', 1924.0)"
Strike,1925.0,['Drama'],7.6,9402,"('Strike', 1925.0)"
The Thief of Bagdad,1924.0,"['Adventure', 'Family', 'Fantasy']",7.7,7604,"('The Thief of Bagdad', 1924.0)"
The Adventures of Prince Achmed,1926.0,"['Adventure', 'Animation', 'Drama']",7.8,7617,"('The Adventures of Prince Achmed', 1926.0)"
The Big Parade,1925.0,"['Drama', 'Romance', 'War']",7.9,7789,"('The Big Parade', 1925.0)"
Battleship Potemkin,1925.0,"['Drama', 'History', 'Thriller']",7.9,64783,"('Battleship Potemkin', 1925.0)"
Master of the House,1925.0,"['Comedy', 'Drama']",7.0,2619,"('Master of the House', 1925.0)"
The Freshman,1925.0,"['Comedy', 'Family', 'Romance']",7.5,6557,"('The Freshman', 1925.0)"
The Joyless Street,1925.0,['Drama'],7.1,1861,"('The Joyless Street', 1925.0)"
Go West,1925.0,"['Comedy', 'Western']",7.1,5536,"('Go West', 1925.0)"
The Gold Rush,1925.0,"['Adventure', 'Comedy', 'Drama']",8.1,127503,"('The Gold Rush', 1925.0)"
Grass: A Nation's Battle for Life,1925.0,['Documentary'],7.7,1306,"(""Grass: A Nation's Battle for Life"", 1925.0)"
Greed,1924.0,"['Drama', 'Thriller', 'Western']",8.0,11524,"('Greed', 1924.0)"
Lady Windermere's Fan,1925.0,['Comedy'],7.2,1548,"(""Lady Windermere's Fan"", 1925.0)"
The Little Colonel,1935.0,"['Comedy', 'Family', 'Musical']",7.0,2057,"('The Little Colonel', 1935.0)"
The Lost World,1925.0,"['Adventure', 'Fantasy', 'Horror']",7.0,6527,"('The Lost World', 1925.0)"
The Merry Widow,1925.0,"['Drama', 'Romance']",7.2,2729,"('The Merry Widow', 1925.0)"
The Phantom of the Opera,1925.0,"['Horror', 'Music']",7.5,22051,"('The Phantom of the Opera', 1925.0)"
Seven Chances,1925.0,"['Comedy', 'Romance']",7.8,13029,"('Seven Chances', 1925.0)"
The Unholy Three,1925.0,"['Crime', 'Drama', 'Romance']",7.1,2496,"('The Unholy Three', 1925.0)"
Variety,1925.0,"['Crime', 'Drama', 'Romance']",7.4,1558,"('Variety', 1925.0)"
Bardelys the Magnificent,1926.0,"['Drama', 'Romance']",7.1,1389,"('Bardelys the Magnificent', 1926.0)"
Battling Butler,1926.0,"['Comedy', 'Romance', 'Sport']",7.0,4374,"('Battling Butler', 1926.0)"
Ben-Hur: A Tale of the Christ,1925.0,"['Action', 'Adventure', 'Drama']",7.8,8346,"('Ben-Hur: A Tale of the Christ', 1925.0)"
The Black Pirate,1926.0,"['Action', 'Adventure']",7.0,2347,"('The Black Pirate', 1926.0)"
La Bohème,1926.0,"['Drama', 'Romance']",7.2,1765,"('La Bohème', 1926.0)"
Don Juan,1926.0,"['Adventure', 'Romance']",7.0,1028,"('Don Juan', 1926.0)"
Faust,1926.0,"['Drama', 'Fantasy', 'Horror']",8.1,18148,"('Faust', 1926.0)"
Flesh and the Devil,1926.0,"['Drama', 'Romance']",7.6,4894,"('Flesh and the Devil', 1926.0)"
For Heaven's Sake,1926.0,"['Action', 'Comedy', 'Romance']",7.5,2132,"(""For Heaven's Sake"", 1926.0)"
A Page of Madness,1926.0,"['Drama', 'Horror', 'Thriller']",7.3,5311,"('A Page of Madness', 1926.0)"
The Lodger: A Story of the London Fog,1927.0,"['Crime', 'Drama', 'Mystery']",7.3,14876,"('The Lodger: A Story of the London Fog', 1927.0)"
Mother,1926.0,['Drama'],7.4,3290,"('Mother', 1926.0)"
Metropolis,1927.0,"['Drama', 'Sci-Fi']",8.2,199919,"('Metropolis', 1927.0)"
By the Law,1926.0,"['Action', 'Drama', 'Mystery']",7.6,1339,"('By the Law', 1926.0)"
The Scarlet Letter,1926.0,['Drama'],7.6,2132,"('The Scarlet Letter', 1926.0)"
Sparrows,1926.0,['Drama'],7.3,1633,"('Sparrows', 1926.0)"
Tartuffe,1925.0,"['Comedy', 'Drama']",7.1,2937,"('Tartuffe', 1925.0)"
3 Bad Men,1926.0,"['Drama', 'Romance', 'Western']",7.5,1687,"('3 Bad Men', 1926.0)"
Berlin: Symphony of Metropolis,1927.0,['Documentary'],7.6,5118,"('Berlin: Symphony of Metropolis', 1927.0)"
The Cat and the Canary,1927.0,"['Comedy', 'Horror', 'Mystery']",7.1,3783,"('The Cat and the Canary', 1927.0)"
The General,1926.0,"['Action', 'Adventure', 'Comedy']",8.1,105594,"('The General', 1926.0)"
Happiness,1935.0,"['Comedy', 'Drama']",7.3,1273,"('Happiness', 1935.0)"
It,1927.0,"['Comedy', 'Romance']",7.2,3952,"('It', 1927.0)"
The Kid Brother,1927.0,"['Comedy', 'Drama', 'Family']",7.6,5217,"('The Kid Brother', 1927.0)"
The King of Kings,1927.0,"['Biography', 'Drama', 'Family']",7.3,2657,"('The King of Kings', 1927.0)"
The End of St. Petersburg,1927.0,['Drama'],7.3,1973,"('The End of St. Petersburg', 1927.0)"
Napoleon,1927.0,"['Biography', 'Drama', 'History']",8.2,9711,"('Napoleon', 1927.0)"
October (Ten Days that Shook the World),1928.0,"['Drama', 'History']",7.4,8990,"('October (Ten Days that Shook the World)', 1928.0)"
7th Heaven,1927.0,"['Drama', 'Romance']",7.5,4621,"('7th Heaven', 1927.0)"
The Student Prince in Old Heidelberg,1927.0,"['Drama', 'Romance']",7.5,1812,"('The Student Prince in Old Heidelberg', 1927.0)"
Sunrise,1927.0,"['Drama', 'Romance']",8.1,56425,"('Sunrise', 1927.0)"
Tell It to the Marines,1926.0,"['Comedy', 'Drama', 'Romance']",7.1,1710,"('Tell It to the Marines', 1926.0)"
Bed and Sofa,1927.0,"['Comedy', 'Drama']",7.3,1445,"('Bed and Sofa', 1927.0)"
Underworld,1927.0,"['Crime', 'Drama', 'Film-Noir']",7.5,3840,"('Underworld', 1927.0)"
The Unknown,1927.0,"['Drama', 'Horror', 'Romance']",7.7,10202,"('The Unknown', 1927.0)"
Wings,1927.0,"['Action', 'Drama', 'Romance']",7.5,16043,"('Wings', 1927.0)"
Beggars of Life,1928.0,"['Adventure', 'Crime', 'Drama']",7.5,1509,"('Beggars of Life', 1928.0)"
Pandora's Box,1929.0,"['Crime', 'Drama', 'Romance']",7.7,12836,"(""Pandora's Box"", 1929.0)"
The Cameraman,1928.0,"['Comedy', 'Drama', 'Family']",8.0,14423,"('The Cameraman', 1928.0)"
The Fall of the House of Usher,1928.0,"['Drama', 'Fantasy', 'Horror']",7.2,5020,"('The Fall of the House of Usher', 1928.0)"
The Circus,1928.0,"['Comedy', 'Family', 'Romance']",8.1,38328,"('The Circus', 1928.0)"
The Crowd,1928.0,"['Drama', 'Romance']",8.0,9941,"('The Crowd', 1928.0)"
The Docks of New York,1928.0,"['Crime', 'Drama', 'Film-Noir']",7.5,5452,"('The Docks of New York', 1928.0)"
Four Sons,1928.0,"['Drama', 'War']",7.2,1030,"('Four Sons', 1928.0)"
The Last Command,1928.0,"['Drama', 'Romance', 'War']",7.9,5000,"('The Last Command', 1928.0)"
"Laugh, Clown, Laugh",1928.0,"['Drama', 'Romance']",7.5,2290,"('Laugh, Clown, Laugh', 1928.0)"
Lonesome,1928.0,"['Comedy', 'Drama', 'Romance']",7.7,2917,"('Lonesome', 1928.0)"
The Man Who Laughs,1928.0,"['Drama', 'Horror', 'Mystery']",7.6,9127,"('The Man Who Laughs', 1928.0)"
The Mysterious Lady,1928.0,"['Drama', 'Romance']",7.2,1540,"('The Mysterious Lady', 1928.0)"
The Passion of Joan of Arc,1928.0,"['Biography', 'Drama', 'History']",8.1,67629,"('The Passion of Joan of Arc', 1928.0)"
The Patsy,1928.0,"['Comedy', 'Drama', 'Romance']",7.4,2902,"('The Patsy', 1928.0)"
Storm Over Asia,1928.0,"['Drama', 'War']",7.0,2485,"('Storm Over Asia', 1928.0)"
Sadie Thompson,1928.0,['Drama'],7.2,2987,"('Sadie Thompson', 1928.0)"
Show People,1928.0,"['Comedy', 'Romance']",7.6,4227,"('Show People', 1928.0)"
Speedy,1928.0,"['Action', 'Comedy', 'Family']",7.6,4740,"('Speedy', 1928.0)"
Spies,1928.0,"['Romance', 'Thriller']",7.5,4301,"('Spies', 1928.0)"
"Steamboat Bill, Jr.",1928.0,"['Action', 'Comedy', 'Drama']",7.8,17403,"('Steamboat Bill, Jr.', 1928.0)"
Street Angel,1928.0,['Drama'],7.3,2784,"('Street Angel', 1928.0)"
The Wedding March,1928.0,"['Drama', 'Romance']",7.3,2027,"('The Wedding March', 1928.0)"
West of Zanzibar,1928.0,"['Drama', 'Horror', 'Mystery']",7.2,2115,"('West of Zanzibar', 1928.0)"
The Wind,1928.0,"['Drama', 'Romance', 'Thriller']",8.0,7755,"('The Wind', 1928.0)"
A Woman of Affairs,1928.0,['Drama'],7.1,1843,"('A Woman of Affairs', 1928.0)"
Zvenigora,1928.0,"['Drama', 'Fantasy']",7.1,1268,"('Zvenigora', 1928.0)"
Applause,1929.0,"['Drama', 'Musical', 'Romance']",7.1,1608,"('Applause', 1929.0)"
L'Argent,1928.0,"['Drama', 'Romance']",7.5,1240,"(""L'Argent"", 1928.0)"
Arsenal,1929.0,"['Drama', 'War']",7.1,2497,"('Arsenal', 1929.0)"
Asphalt,1929.0,"['Crime', 'Drama', 'Romance']",7.4,1830,"('Asphalt', 1929.0)"
Man with a Movie Camera,1929.0,['Documentary'],8.3,30099,"('Man with a Movie Camera', 1929.0)"
Woman in the Moon,1929.0,"['Adventure', 'Comedy', 'Drama']",7.3,4191,"('Woman in the Moon', 1929.0)"
Hell's Heroes,1929.0,"['Drama', 'Western']",7.2,1165,"(""Hell's Heroes"", 1929.0)"
The Iron Mask,1929.0,"['Adventure', 'Drama', 'History']",7.0,1520,"('The Iron Mask', 1929.0)"
The Love Parade,1929.0,"['Comedy', 'Musical', 'Romance']",7.0,2875,"('The Love Parade', 1929.0)"
Lucky Star,1929.0,"['Drama', 'Romance']",7.6,1678,"('Lucky Star', 1929.0)"
People on Sunday,1930.0,"['Comedy', 'Drama', 'Romance']",7.2,3930,"('People on Sunday', 1930.0)"
Piccadilly,1929.0,"['Crime', 'Drama']",7.1,2058,"('Piccadilly', 1929.0)"
Queen Kelly,1929.0,['Drama'],7.1,3522,"('Queen Kelly', 1929.0)"
The General Line,1929.0,['Drama'],7.2,1848,"('The General Line', 1929.0)"
Diary of a Lost Girl,1929.0,['Drama'],7.8,5140,"('Diary of a Lost Girl', 1929.0)"
The White Hell of Pitz Palu,1929.0,"['Action', 'Adventure', 'Drama']",7.3,1205,"('The White Hell of Pitz Palu', 1929.0)"
All Quiet on the Western Front,1930.0,"['Drama', 'War']",8.1,71613,"('All Quiet on the Western Front', 1930.0)"
Animal Crackers,1930.0,"['Comedy', 'Family', 'Musical']",7.4,16092,"('Animal Crackers', 1930.0)"
The Big House,1930.0,"['Crime', 'Drama', 'Thriller']",7.1,2923,"('The Big House', 1930.0)"
The Big Trail,1930.0,"['Adventure', 'Drama', 'Romance']",7.2,5102,"('The Big Trail', 1930.0)"
The Blue Angel,1930.0,"['Drama', 'Music', 'Romance']",7.6,17499,"('The Blue Angel', 1930.0)"
City Girl,1930.0,"['Drama', 'Romance']",7.7,4027,"('City Girl', 1930.0)"
Escape from Dartmoor,1930.0,"['Crime', 'Drama']",7.5,1338,"('Escape from Dartmoor', 1930.0)"
The Dawn Patrol,1930.0,"['Action', 'Drama', 'War']",7.1,2252,"('The Dawn Patrol', 1930.0)"
Hell's Angels,1930.0,"['Drama', 'War']",7.2,6611,"(""Hell's Angels"", 1930.0)"
Little Caesar,1931.0,"['Action', 'Crime', 'Drama']",7.2,15715,"('Little Caesar', 1931.0)"
Morocco,1930.0,"['Drama', 'Romance']",7.0,8305,"('Morocco', 1930.0)"
The Story of the Fox,1937.0,"['Adventure', 'Animation', 'Comedy']",7.6,1745,"('The Story of the Fox', 1937.0)"
The Blood of a Poet,1932.0,['Fantasy'],7.2,7945,"('The Blood of a Poet', 1932.0)"
Under the Roofs of Paris,1930.0,"['Comedy', 'Drama', 'Musical']",7.0,2659,"('Under the Roofs of Paris', 1930.0)"
Westfront 1918,1930.0,"['Drama', 'Romance', 'War']",7.3,2785,"('Westfront 1918', 1930.0)"
Earth,1930.0,['Drama'],7.2,6909,"('Earth', 1930.0)"
L'Age d'Or,1930.0,"['Comedy', 'Drama']",7.2,15615,"(""L'Age d'Or"", 1930.0)"
Blonde Crazy,1931.0,"['Comedy', 'Crime', 'Drama']",7.1,2557,"('Blonde Crazy', 1931.0)"
The Champ,1931.0,"['Drama', 'Family', 'Sport']",7.2,3931,"('The Champ', 1931.0)"
The Bitch,1931.0,"['Crime', 'Drama', 'Romance']",7.5,5290,"('The Bitch', 1931.0)"
City Lights,1931.0,"['Comedy', 'Drama', 'Romance']",8.5,215365,"('City Lights', 1931.0)"
City Streets,1931.0,"['Crime', 'Drama', 'Film-Noir']",7.0,2081,"('City Streets', 1931.0)"
Dishonored,1931.0,"['Drama', 'Romance', 'War']",7.2,3525,"('Dishonored', 1931.0)"
Dracula,1931.0,"['Drama', 'Fantasy', 'Horror']",7.3,64403,"('Dracula', 1931.0)"
Drácula,1931.0,"['Drama', 'Fantasy', 'Horror']",7.0,5592,"('Drácula', 1931.0)"
The Threepenny Opera,1931.0,"['Comedy', 'Crime', 'Drama']",7.2,2719,"('The Threepenny Opera', 1931.0)"
Five Star Final,1931.0,"['Crime', 'Drama']",7.3,2828,"('Five Star Final', 1931.0)"
Frankenstein,1931.0,"['Drama', 'Horror', 'Sci-Fi']",7.7,87310,"('Frankenstein', 1931.0)"
"Hyppolit, the Butler",1931.0,['Comedy'],7.7,1885,"('Hyppolit, the Butler', 1931.0)"
Comradeship,1931.0,"['Drama', 'Thriller']",7.5,2019,"('Comradeship', 1931.0)"
The Smiling Lieutenant,1931.0,"['Comedy', 'Musical', 'Romance']",7.1,4375,"('The Smiling Lieutenant', 1931.0)"
Limit,1931.0,"['Drama', 'Romance']",7.0,3228,"('Limit', 1931.0)"
M,1931.0,"['Crime', 'Mystery', 'Thriller']",8.3,181840,"('M', 1931.0)"
Marius,1931.0,"['Comedy', 'Drama', 'Romance']",7.8,2843,"('Marius', 1931.0)"
Le Million,1931.0,"['Comedy', 'Musical']",7.3,4046,"('Le Million', 1931.0)"
The Miracle Woman,1931.0,"['Drama', 'Romance']",7.2,2709,"('The Miracle Woman', 1931.0)"
Monkey Business,1931.0,"['Comedy', 'Family', 'Musical']",7.4,14940,"('Monkey Business', 1931.0)"
Mädchen in Uniform,1931.0,"['Drama', 'Romance']",7.5,4309,"('Mädchen in Uniform', 1931.0)"
Night Nurse,1931.0,"['Comedy', 'Crime', 'Drama']",7.0,5056,"('Night Nurse', 1931.0)"
The Public Enemy,1931.0,"['Crime', 'Drama']",7.6,24597,"('The Public Enemy', 1931.0)"
Street Scene,1931.0,"['Drama', 'Romance']",7.6,2382,"('Street Scene', 1931.0)"
Tabu: A Story of the South Seas,1931.0,"['Adventure', 'Drama', 'Romance']",7.4,6858,"('Tabu: A Story of the South Seas', 1931.0)"
Tokyo Chorus,1931.0,"['Comedy', 'Drama']",7.1,1694,"('Tokyo Chorus', 1931.0)"
Waterloo Bridge,1931.0,"['Drama', 'Romance', 'War']",7.4,3422,"('Waterloo Bridge', 1931.0)"
À Nous la Liberté,1931.0,"['Comedy', 'Musical']",7.4,5287,"('À Nous la Liberté', 1931.0)"
American Madness,1932.0,"['Drama', 'Mystery']",7.4,2608,"('American Madness', 1932.0)"
Back Street,1932.0,"['Drama', 'Mystery', 'Romance']",7.0,1241,"('Back Street', 1932.0)"
Blonde Venus,1932.0,['Drama'],7.1,6256,"('Blonde Venus', 1932.0)"
Boudu Saved from Drowning,1932.0,['Comedy'],7.2,6624,"('Boudu Saved from Drowning', 1932.0)"
Broken Lullaby,1932.0,['Drama'],7.6,1835,"('Broken Lullaby', 1932.0)"
Call Her Savage,1932.0,"['Drama', 'Romance']",7.0,1269,"('Call Her Savage', 1932.0)"
Wooden Crosses,1932.0,"['Drama', 'War']",7.7,1915,"('Wooden Crosses', 1932.0)"
Downstairs,1932.0,"['Drama', 'Romance']",7.0,1942,"('Downstairs', 1932.0)"
Dr. Jekyll and Mr. Hyde,1931.0,"['Horror', 'Sci-Fi']",7.6,17581,"('Dr. Jekyll and Mr. Hyde', 1931.0)"
Emma,1932.0,['Drama'],7.0,1256,"('Emma', 1932.0)"
Fanny,1932.0,"['Comedy', 'Drama']",7.8,2121,"('Fanny', 1932.0)"
Freaks,1932.0,"['Drama', 'Horror']",7.8,54387,"('Freaks', 1932.0)"
Grand Hotel,1932.0,"['Drama', 'Romance']",7.3,22420,"('Grand Hotel', 1932.0)"
Horse Feathers,1932.0,"['Comedy', 'Family', 'Musical']",7.5,14087,"('Horse Feathers', 1932.0)"
I Am a Fugitive from a Chain Gang,1932.0,"['Crime', 'Drama', 'Film-Noir']",8.2,15530,"('I Am a Fugitive from a Chain Gang', 1932.0)"
Jewel Robbery,1932.0,"['Comedy', 'Crime', 'Romance']",7.2,2988,"('Jewel Robbery', 1932.0)"
Love Me Tonight,1932.0,"['Comedy', 'Musical', 'Romance']",7.5,5071,"('Love Me Tonight', 1932.0)"
The Most Dangerous Game,1932.0,"['Action', 'Adventure', 'Horror']",7.0,15339,"('The Most Dangerous Game', 1932.0)"
Movie Crazy,1932.0,"['Comedy', 'Family', 'Romance']",7.1,1816,"('Movie Crazy', 1932.0)"
The Old Dark House,1932.0,"['Adventure', 'Comedy', 'Drama']",7.0,14628,"('The Old Dark House', 1932.0)"
One Hour with You,1932.0,"['Comedy', 'Musical', 'Romance']",7.0,3209,"('One Hour with You', 1932.0)"
One Way Passage,1932.0,"['Comedy', 'Drama', 'Romance']",7.5,4854,"('One Way Passage', 1932.0)"
Pack Up Your Troubles,1932.0,"['Comedy', 'War']",7.2,2908,"('Pack Up Your Troubles', 1932.0)"
Red Dust,1932.0,"['Comedy', 'Drama', 'Romance']",7.2,5271,"('Red Dust', 1932.0)"
Red-Headed Woman,1932.0,"['Comedy', 'Drama', 'Romance']",7.0,3896,"('Red-Headed Woman', 1932.0)"
Scarface,1932.0,"['Action', 'Crime', 'Drama']",7.7,33129,"('Scarface', 1932.0)"
Shanghai Express,1932.0,"['Adventure', 'Drama', 'Film-Noir']",7.3,11652,"('Shanghai Express', 1932.0)"
Skyscraper Souls,1932.0,"['Drama', 'Romance']",7.2,1112,"('Skyscraper Souls', 1932.0)"
The Testament of Dr. Mabuse,1933.0,"['Crime', 'Mystery', 'Thriller']",7.9,14478,"('The Testament of Dr. Mabuse', 1933.0)"
Three on a Match,1932.0,"['Crime', 'Drama', 'Romance']",7.1,4833,"('Three on a Match', 1932.0)"
Trouble in Paradise,1932.0,"['Comedy', 'Crime', 'Romance']",7.9,17319,"('Trouble in Paradise', 1932.0)"
"I Was Born, But...",1932.0,"['Comedy', 'Drama']",7.8,6704,"('I Was Born, But...', 1932.0)"
Union Depot,1932.0,"['Comedy', 'Drama', 'Romance']",7.1,1279,"('Union Depot', 1932.0)"
Vampyr,1932.0,"['Fantasy', 'Horror']",7.4,22613,"('Vampyr', 1932.0)"
What Price Hollywood?,1932.0,"['Drama', 'Romance']",7.0,2903,"('What Price Hollywood?', 1932.0)"
Baby Face,1933.0,"['Drama', 'Romance']",7.5,9058,"('Baby Face', 1933.0)"
Bombshell,1933.0,"['Comedy', 'Drama', 'Mystery']",7.1,3391,"('Bombshell', 1933.0)"
A Song of Lisbon,1933.0,"['Comedy', 'Musical']",7.7,1620,"('A Song of Lisbon', 1933.0)"
Counsellor at Law,1933.0,"['Comedy', 'Drama']",7.5,1652,"('Counsellor at Law', 1933.0)"
